assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
1,3,38,None,None,1,206325,None,,0,0,0,0,23.3,27,6,None,,1,2,2.8,2.8,12,Oleksandr,12.0,0,0,8.5,18,3,313,True,40.2,11,4,82,,None,50,0,0,None,0,,206325.jpg,12.0,0,0,Zinchenko,18.6,False,None,a,1,3,21.0,43,7,12,193279,193279,6948,6948,2.4,2.4,Zinchenko,0
0,0,7,None,None,0,84583,4,,0,0,0,0,19.9,37,24,1,,0,3,2.4,2.9,2,Philippe,2.0,2,0,4.4,65,36,29,False,3.0,162,70,81,,None,70,0,0,2,0,,84583.jpg,2.0,0,0,Coutinho Correia,17.0,False,None,a,2,7,21.0,45,27,2,15642,15642,39571,39571,0.3,0.3,Coutinho,0
0,0,0,None,None,0,84939,None,,0,0,0,0,12.5,65,5,None,,0,4,2.2,2.7,1,Danny,1.0,1,0,4.7,56,10,30,False,1.0,182,17,65,,None,70,0,0,1,0,,84939.jpg,1.0,0,0,Ings,2.3,False,None,a,2,7,33.0,24,10,1,5741,5741,10447,10447,0.1,0.1,Ings,1
0,0,10,None,None,0,98980,None,,0,0,0,0,0.0,437,49,None,,0,1,3.1,3.6,1,Emiliano,1.0,2,0,0.9,166,12,31,False,9.2,115,12,90,,None,50,0,0,None,0,,98980.jpg,1.0,0,1,Martínez Romero,6.1,False,None,a,2,7,0.0,416,49,1,4998,4998,11067,11067,0.2,0.2,Martínez,0
0,0,0,None,None,0,101184,None,,0,0,0,0,0.0,279,129,None,,0,2,1.9,2.4,0,Calum,0.0,0,0,0.0,294,132,32,False,0.0,285,131,0,,None,45,0,0,None,0,,101184.jpg,0.0,0,0,Chambers,0.3,False,None,a,2,7,0.0,241,109,0,496,496,1070,1070,0.0,0.0,Chambers,0
0,0,11,None,None,0,101188,1,,0,0,0,0,22.7,29,8,4,,0,2,2.3,2.8,1,Lucas,1.0,2,0,4.4,64,18,33,False,13.2,93,46,90,,None,50,0,0,None,0,,101188.jpg,1.0,0,0,Digne,4.3,False,None,a,2,7,8.0,80,17,1,3987,3987,9621,9621,0.2,0.2,Digne,0
0,0,0,None,None,0,110504,None,,0,0,0,0,0.0,441,165,None,,0,3,1.6,2.1,0,Bertrand,0.0,0,0,0.0,444,164,34,False,0.0,439,161,0,,None,50,0,0,None,0,,110504.jpg,0.0,0,0,Traoré,0.2,False,None,a,2,7,0.0,420,153,0,542,542,1030,1030,0.0,0.0,Traoré,0
0,0,0,None,None,0,111782,None,,0,0,0,0,0.0,200,13,None,,0,1,1.0,1.5,0,Robin,0.0,0,0,0.0,216,27,35,False,0.0,207,27,0,,None,40,0,0,None,0,,111782.jpg,0.0,0,0,Olsen,2.1,False,None,a,2,7,0.0,157,13,0,1848,1848,1777,1777,0.0,0.0,Olsen,0
0,0,0,None,None,0,122775,None,,0,0,0,0,0.0,297,98,None,,0,3,1.0,1.5,0,Morgan,0.0,0,0,0.0,311,98,36,False,0.0,302,93,0,,None,45,0,0,None,0,,122775.jpg,0.0,0,0,Sanson,0.3,False,None,a,2,7,0.0,261,83,0,1258,1258,1121,1121,0.0,0.0,Sanson,0
0,0,16,None,None,0,122806,3,,0,0,0,0,4.0,97,59,None,,0,3,2.0,2.5,2,John,2.0,2,0,3.1,94,50,37,False,9.6,113,43,90,,None,55,0,0,None,0,,122806.jpg,2.0,0,0,McGinn,2.0,False,None,a,2,7,17.0,58,35,2,1795,1795,4368,4368,0.4,0.4,McGinn,0
0,0,0,0,0,0,123354,None,,0,0,0,0,0.0,298,139,None,,0,2,0.0,0.0,0,Kortney,0.0,0,0,0.0,312,142,38,False,0.0,303,141,0,Knee injury - Unknown return date,2022-08-05T11:30:05.731214Z,45,0,0,None,0,,123354.jpg,0.0,0,0,Hause,0.0,False,None,i,2,7,0.0,262,121,0,9,9,457,457,0.0,0.0,Hause,0
0,0,0,None,None,0,149484,None,,0,0,0,0,0.0,300,140,None,,0,2,1.9,2.4,0,Tyrone,0.0,0,0,0.0,314,143,39,False,0.0,305,142,0,,None,45,0,0,None,0,,149484.jpg,0.0,0,0,Mings,6.9,False,None,a,2,7,0.0,264,122,0,3931,3931,25853,25853,0.0,0.0,Mings,0
0,0,3,None,None,0,178301,None,,0,0,0,0,11.8,72,6,None,,0,4,2.4,2.9,1,Ollie,1.0,1,0,1.6,147,16,40,False,2.0,173,15,24,,None,75,0,0,3,0,,178301.jpg,1.0,0,0,Watkins,3.9,False,None,a,2,7,2.0,131,19,1,4001,4001,20295,20295,0.1,0.1,Watkins,0
0,0,0,None,None,0,184704,None,,0,0,0,0,0.0,320,106,None,,0,3,1.0,1.5,0,Marvelous,0.0,0,0,0.0,332,106,41,False,0.0,323,101,0,,None,45,0,0,None,0,,184704.jpg,0.0,0,0,Nakamba,0.2,False,None,a,2,7,0.0,288,92,0,625,625,661,661,0.0,0.0,Nakamba,0
0,0,8,None,None,0,195546,None,,0,0,0,0,15.8,47,31,None,,0,3,2.2,2.7,1,Emiliano,1.0,1,0,2.3,114,56,42,False,4.8,145,60,45,,None,60,0,0,None,0,,195546.jpg,1.0,0,0,Buendía Stati,0.5,False,None,a,2,7,2.0,128,70,1,697,697,2062,2062,0.2,0.2,Buendía,0
0,0,15,None,None,0,199796,None,,0,0,0,0,11.0,74,23,None,,0,2,2.3,2.8,1,Matty,1.0,2,0,3.4,89,27,43,False,13.2,94,47,90,,None,50,0,0,None,0,,199796.jpg,1.0,0,0,Cash,19.4,False,None,a,2,7,10.0,69,14,1,12423,12423,51740,51740,0.2,0.2,Cash,0
0,0,16,100,100,0,199798,None,,0,0,0,0,1.3,130,44,None,,0,2,1.9,2.4,1,Ezri,1.0,2,0,2.2,117,43,44,False,20.8,53,23,90,,2022-07-05T15:30:04.118376Z,45,0,0,None,0,,199798.jpg,1.0,0,0,Konsa Ngoyo,0.3,False,None,a,2,7,0.0,300,143,1,714,714,607,607,0.2,0.2,Konsa,0
0,0,8,None,None,0,215711,None,,0,0,0,0,31.9,14,10,3,,0,3,1.6,2.1,2,Leon,2.0,2,0,6.7,32,21,45,False,12.8,99,36,90,,None,50,0,0,None,0,,215711.jpg,2.0,0,0,Bailey,17.9,False,None,a,2,7,22.0,41,25,2,17901,17901,18652,18652,0.4,0.4,Bailey,0
0,0,-1,None,None,0,230046,2,,0,0,0,0,2.3,114,67,2,,0,3,1.6,2.1,0,Douglas Luiz,0.0,0,0,1.0,163,73,46,False,0.0,472,186,8,,None,50,0,0,None,0,,230046.jpg,0.0,0,0,Soares de Paulo,0.7,False,None,a,2,7,8.0,82,50,0,535,535,3029,3029,0.0,0.0,Douglas Luiz,1
0,0,11,None,None,0,232653,None,,0,0,0,0,22.3,30,21,None,,0,3,2.0,2.5,0,Jacob,0.0,1,0,4.0,72,39,47,False,10.0,111,41,45,,None,55,0,0,None,0,,232653.jpg,0.0,0,0,Ramsey,2.1,False,None,a,2,7,8.0,84,52,0,1461,1461,7402,7402,0.0,0.0,Ramsey,1
0,0,0,None,None,0,490094,None,,0,0,0,0,0.0,403,144,None,,0,3,1.0,1.5,0,Tim,0.0,0,0,0.0,410,144,49,False,0.0,404,140,0,,None,45,0,0,None,0,,490094.jpg,0.0,0,0,Iroegbunam,0.0,False,None,a,2,7,0.0,381,131,0,89,89,103,103,0.0,0.0,Iroegbunam,0
0,0,8,None,None,0,165659,None,,0,0,0,0,1.5,122,41,None,,0,2,2.3,2.8,1,Diego Carlos,1.0,2,0,1.4,153,59,50,False,9.2,116,55,90,,None,50,0,0,None,0,,165659.jpg,1.0,0,0,Santos Silva,1.2,False,None,a,2,7,3.0,108,31,1,1506,1506,4816,4816,0.2,0.2,Diego Carlos,0
0,0,0,None,None,0,193488,None,,0,0,0,0,0.0,459,178,None,,0,3,1.6,2.1,0,Anwar,0.0,0,0,0.0,461,177,51,False,0.0,456,174,0,,None,50,0,0,None,0,,193488.jpg,0.0,0,0,El Ghazi,0.1,False,None,a,2,7,0.0,445,169,0,286,286,649,649,0.0,0.0,El Ghazi,0
0,0,0,25,25,0,221239,None,,0,0,0,0,0.0,511,36,None,,0,4,0.4,0.5,0,Keinan,0.0,0,0,0.0,512,36,52,False,0.0,508,34,0,Lack of match fitness - 25% chance of playing,2022-08-05T11:30:05.744996Z,55,0,0,None,0,,221239.jpg,0.0,0,0,Davis,0.2,False,None,d,2,7,0.0,506,33,0,129,129,2327,2327,0.0,0.0,Davis,0
0,0,8,None,None,0,226944,None,,0,0,0,0,3.8,99,61,None,,0,3,1.6,2.1,2,Boubacar,2.0,2,0,1.5,149,68,53,False,5.8,138,55,81,,None,50,0,0,None,0,,226944.jpg,2.0,0,0,Kamara,0.2,False,None,a,2,7,5.0,92,53,2,497,497,621,621,0.4,0.4,Kamara,0
0,0,3,None,None,0,433979,None,,0,0,0,0,1.3,132,14,None,,0,4,1.0,1.5,1,Cameron,1.0,0,0,0.3,182,21,54,False,0.0,373,23,8,,None,45,0,0,None,0,,433979.jpg,1.0,0,0,Archer,7.8,False,None,a,2,7,2.0,116,18,1,9686,9686,7818,7818,0.2,0.2,Archer,0
0,0,0,0,0,0,481624,None,,0,0,0,0,0.0,399,140,None,,0,3,0.0,0.0,0,Jaden,0.0,0,0,0.0,406,140,55,False,0.0,400,136,0,Joined Cardiff City on loan - Expected back 01 Jul,2022-07-28T16:30:04.277181Z,45,0,0,None,0,,481624.jpg,0.0,0,0,Philogene-Bidace,0.0,False,None,u,2,7,0.0,377,127,0,0,0,62,62,0.0,0.0,Philogene-Bidace,0
0,0,0,None,None,0,203368,None,,0,0,0,0,0.0,212,82,None,,0,2,1.0,1.5,0,Frédéric,0.0,0,0,0.0,228,85,56,False,0.0,219,84,0,,None,40,0,0,None,0,,203368.jpg,0.0,0,0,Guilbert,0.8,False,None,a,2,7,0.0,169,59,0,2046,2046,1687,1687,0.0,0.0,Guilbert,0
0,0,0,None,None,0,155561,None,,0,0,0,0,0.0,305,142,None,,0,2,1.9,2.4,0,Ludwig,0.0,0,0,0.0,318,145,525,False,0.0,309,144,0,,None,45,0,0,None,0,,155561.jpg,0.0,0,0,Augustinsson,0.1,False,None,a,2,7,0.0,269,124,0,139,139,234,234,0.0,0.0,Augustinsson,0
0,0,0,None,None,0,537043,None,,0,0,0,0,0.0,246,107,None,,0,2,1.0,1.5,0,Kaine,0.0,0,0,0.0,262,110,537,False,0.0,253,109,0,,None,40,0,0,None,0,,537043.jpg,0.0,0,0,Kesler Hayden,0.1,False,None,a,2,7,0.0,204,85,0,477,477,350,350,0.0,0.0,Kesler Hayden,0
0,0,0,None,None,0,18892,None,,0,0,0,0,0.0,247,108,None,,0,2,1.9,2.4,0,Ashley,0.0,0,0,0.0,263,111,538,False,0.0,254,110,0,,None,45,0,0,None,0,,18892.jpg,0.0,0,0,Young,0.1,False,None,a,2,7,0.0,205,86,0,402,402,489,489,0.0,0.0,Young,0
0,0,13,None,None,1,54469,None,,0,0,0,0,1.3,127,43,None,,0,2,0.4,1.4,5,Adam,5.0,0,0,1.2,157,60,57,False,6.2,135,61,90,,None,45,0,0,None,0,,54469.jpg,5.0,0,0,Smith,0.2,False,None,a,3,91,4.0,95,25,5,402,402,340,340,1.1,1.1,Smith,1
0,0,3,None,None,0,56872,3,,0,0,0,0,0.0,422,157,2,,0,3,0.1,1.1,1,Junior,1.0,0,0,0.0,429,157,58,False,0.0,423,153,1,,None,50,0,0,2,0,,56872.jpg,1.0,0,0,Stanislas,0.1,False,None,a,3,91,0.0,400,144,1,65,65,411,411,0.2,0.2,Stanislas,0
0,0,0,0,0,0,81012,None,,0,0,0,0,0.0,269,123,None,,0,2,0.0,0.0,0,Ryan,0.0,0,0,0.0,284,126,59,False,0.0,275,125,0,Lack of match fitness - Expected back 20 Aug,2022-07-31T23:30:04.244175Z,45,0,0,None,0,,81012.jpg,0.0,0,0,Fredericks,0.0,False,None,i,3,91,0.0,230,102,0,14,14,363,363,0.0,0.0,Fredericks,0
0,0,0,25,25,0,111317,None,,0,0,0,0,0.0,497,204,None,,0,3,0.1,0.4,0,David,0.0,0,0,0.0,497,204,60,False,0.0,493,202,0,Lack of match fitness - 25% chance of playing,2022-08-01T17:30:04.697617Z,55,0,0,None,0,,111317.jpg,0.0,0,0,Brooks,0.0,False,None,d,3,91,0.0,489,200,0,17,17,389,389,0.0,0.0,Brooks,0
0,0,0,None,None,0,128309,None,,0,0,0,0,0.0,501,206,None,,0,3,0.5,1.5,0,Jamal,0.0,0,0,0.0,500,206,61,False,0.0,496,204,0,,None,55,0,0,None,0,,128309.jpg,0.0,0,0,Lowe,0.1,False,None,a,3,91,0.0,493,202,0,79,79,258,258,0.0,0.0,Lowe,0
0,0,27,None,None,1,128340,None,,0,0,0,0,6.1,87,9,None,,0,4,0.0,1.0,6,Kieffer,6.0,0,1,5.8,40,6,62,False,35.2,23,3,90,,None,55,0,0,None,0,,128340.jpg,6.0,0,0,Moore,0.5,False,None,a,3,91,17.0,59,13,6,9572,9572,1640,1640,1.1,1.1,Moore,0
0,0,0,None,None,0,133845,None,,0,0,0,0,0.0,444,167,None,,0,3,0.1,1.1,0,Emiliano,0.0,0,0,0.0,447,166,63,False,0.0,442,163,0,,None,50,0,0,None,0,,133845.jpg,0.0,0,0,Marcondes,0.0,False,None,a,3,91,0.0,424,156,0,19,19,80,80,0.0,0.0,Marcondes,0
0,2,30,None,None,1,152551,None,,0,0,0,0,0.2,175,89,None,,1,3,0.1,1.1,10,Jefferson,10.0,0,1,5.9,39,24,64,True,42.0,10,4,90,,None,50,0,0,None,0,,152551.jpg,10.0,0,0,Lerma Solís,0.4,False,None,a,3,91,17.0,55,33,10,16640,16640,1430,1430,2.0,2.0,Lerma,0
0,0,0,None,None,0,154131,None,,0,0,0,0,0.0,302,141,None,,0,2,0.4,1.4,0,Jack,0.0,0,0,0.0,316,144,65,False,0.0,307,143,0,,None,45,0,0,None,0,,154131.jpg,0.0,0,0,Stacey,0.1,False,None,a,3,91,0.0,266,123,0,33,33,206,206,0.0,0.0,Stacey,0
0,0,2,None,None,1,154566,None,,0,0,0,0,0.6,150,19,None,,0,4,0.3,1.3,2,Dominic,2.0,0,0,4.8,55,9,66,False,4.4,148,10,90,,None,60,0,0,1,0,,154566.jpg,2.0,0,0,Solanke,1.3,False,None,a,3,91,43.0,13,6,2,2191,2191,4401,4401,0.3,0.3,Solanke,0
0,0,4,None,None,0,155408,None,,0,0,0,0,0.3,166,84,None,,0,3,0.1,1.1,1,Lewis,1.0,0,0,0.8,168,75,67,False,7.2,129,50,18,,None,50,0,0,None,0,,155408.jpg,1.0,0,0,Cook,0.1,False,None,a,3,91,0.0,429,159,1,75,75,198,198,0.2,0.2,Cook,0
0,0,3,None,None,1,156687,None,,0,0,0,0,1.3,129,73,None,,0,3,-0.5,0.5,2,Ben,2.0,0,0,0.6,172,78,68,False,4.2,149,62,71,,None,45,0,0,None,0,,156687.jpg,2.0,0,0,Pearson,0.2,False,None,a,3,91,0.0,272,85,2,3195,3195,648,648,0.4,0.4,Pearson,1
